etab										
--Well	date	PERF	       MDL	MDU	    RAD	SKIN	MULT			
1432	01.02.1968	PERF	1329.4	1343.4	0.073	0	1	/	CII, CIII;	
1432	01.08.1968	PERF	1340	1343.4	0.073	0	1	/	CIII - приобщение;	
1432	01.08.1968	PERF	1333.6	1340	0.073	0	1	/	CII, CIII;	
1434	01.02.1983	PERF	1324.8	1326.4	0.073	0	1	/	CII;	
1434	01.02.1983	PERF	1333.6	1335.6	0.073	0	1	/	CIV0;	
1436	01.09.1968	PERF	1280	1281	0.073	0	1	/	CI;   --не открыт 	
1436	01.09.1968	PERF	1285.8	1288.6	0.073	0	1	/	CIII; --не открыт 	
1436	01.09.2011	PERF	1280	1281	0.073	0	0	/	CI;   --не открыт 	
1436	01.09.2011	PERF	1285.8	1288.6	0.073	0	0	/	CIII; --не открыт 	
1453	01.10.1983	PERF	1350.6	1352.4	0.073	0	1	/	CI; --не открыт	
1453	01.05.1985	PERF	1388.4	1394.8	0.073	0	1	/	CVI;	
1453	01.09.1997	PERF	1350.6	1352.4	0.073	0	0	/	CI; --не открыт	
1678	01.07.2008	PERF	1614.7	1615.7	0.073	0	1	/	CIII;	
1678	01.07.2008	PERF	1616.7	1617.7	0.073	0	1	/	CIII;	
1781	01.06.2008	PERF	1320	1322.5	0.073	0	1	/	CIII;--не открыт	
1781	01.06.2008	PERF	1320	1322.5	0.073	0	0	/	CIII;--не открыт	
1781	01.06.2008	PERF	1317	1318.2	0.073	0	1	/	CIII;	
2792	01.01.2001	PERF	1588.3	1590.3	0.073	0	1	/	CI;	
2792	01.01.2001	PERF	1593.8	1595.3	0.073	0	1	/	CIII;	
2805	01.05.2008	PERF	1750	1752	0.073	0	1	/	CV;--не открыт	
2805	01.05.2008	PERF	1750	1752	0.073	0	0	/	CV;--не открыт, изол€ци€	
2805	01.06.2008	PERF	1744.6	1745.6	0.073	0	1	/		
2805	01.06.2008	PERF	1736	1737.5	0.073	0	1	/	CII;	
2805	01.05.2011	PERF	1744.6	1745.6	0.073	0	1	/		
2805	01.05.2011	PERF	1740.5	1741.3	0.073	0	1	/	CIII;	
2805	01.05.2011	PERF	1736	1737.5	0.073	0	1	/	CII;	
2812	01.06.2008	PERF	1444	1446	0.073	0	1	/	CIV;--не открыт	
2812	01.07.2008	PERF	1444	1446	0.073	0	0	/	CIV; -- изол€ци€	
2812	01.07.2008	PERF	1436.3	1439.1	0.073	0	1	/	CIII;	
352NBRy	01.09.1961	PERF	1272.8	1279.4	0.073	0	1	/	CII,CIII;--не открыт	
352NBRy	01.12.1997	PERF	1272.8	1279.4	0.073	0	0	/	CII,CIII; изол€ци€--не открыт	
7285	01.04.1975	PERF	1422.8	1425.2	0.073	0	1	/	CIII;	
7377	01.04.1975	PERF	1281.2	1288	0.073	0	1	/	CII,CIII;	
8630BYJ	01.03.1994	PERF	1305	1306.4	0.073	0	1	/	CIV0;	
8681BYJ 01.04.1993	PERF	1382.2	1391	0.073	0	1	/	CII;		
8682BYJ	01.03.1994	PERF	1517.6	1522	0.073	0	1	/	CII;	
9409BYJ	01.07.2000	PERF	1322	1323	0.073	0	1	/		
9409BYJ	01.07.2000	PERF	1330	1331.5	0.073	0	1	/	CIII;	
9409BYJ	01.06.2013	PERF	1330	1331.6	0.073	0	1	/	CIII;	
9409BYJ	01.06.2013	PERF	1322	1323	0.073	0	1	/		
ende										
